LOСА-302*Голевард*70 -52*9 -6*OСАСOЛОГ
BНВB-560*Угариния*54 -73*-10 -9*НВBВНАГУ
ЬSТА-367*Жезл Саурона*-35 -13*-7 1*SТАТSЗЕЖ
OADС-556*Шамлария*0 0*-10 4*ADСDAМАШ
OFYB-294*Золотая Даль*-42 -3*-3 8*FYBYFЛОЗ
ХPВH-805*Жезл Саурона*-89 62*6 -3*PВHВPЗЕЖ
VСЭT-405*Нейландия*74 -5*8 4*СЭTЭСЙЕН
НLЙO-968*Наразиния*-5 1*-2 4*LЙOЙLРАН
БUВУ-873*Тальсария*-17 99*-1 1*UВУВUЛАТ
СНRO-490*Мирондия*-88 60*-8 5*НRORНРИМ
TТДI-935*Беренс*80 -83*4 -3*ТДIДТРЕБ
НЦUК-690*Фангорн*94 80*-10 5*ЦUКUЦНАФ
КNPE-304*Халасия*-80 -79*1 -8*NPEPNЛАХ
ЖКDК-209*Ширифповерье*83 84*8 -5*КDКDКРИШ
ЭKFБ-921*Наразиния*0 0*1 -6*KFБFKРАН
CZЭГ-887*Моргариан*-30 53*6 8*ZЭГЭZРОМ
ЪTЬП-320*Валинор*-70 -44*-2 -7*TЬПЬTЛАВ
TRYС-982*Арда*-59 77*9 9*RYСYRДРА
WПШЗ-61*Шадирия*-81 -8*-1 3*ПШЗШПДАШ
МЭRU-259*Юэгусия*0 0*5 -6*ЭRURЭГЭЮ
BМVО-810*Золотонос*-8 -96*1 1*МVОVМЛОЗ
ЦLМК-937*Абеллио*-19 -26*-5 -2*LМКМLЕБА
MAFС-471*Лузия*77 -47*1 8*AFСFAЗУЛ
BAMS-209*Харад*-75 -81*-6 6*AMSMAРАХ
FAОQ-722*Голевард*10 -77*-9 -5*AОQОAЛОГ
PШКЬ-178*Хилварика*-41 31*-4 -6*ШКЬКШЛИХ
ГEYЪ-555*Гординия*99 -43*3 -6*EYЪYEРОГ
ЫVДQ-284*Острудария*-27 79*2 7*VДQДVТСО
GRДA-175*Ясмария*-62 38*-6 -3*RДAДRМСЯ
ЮЙНЭ-279*Нимасия*32 34*-8 8*ЙНЭНЙМИН
ООТГ-929*Цитрамор*0 17*3 -3*ОТГТОТИЦ
BЭSD-149*Чавланшан*-76 -60*0 4*ЭSDSЭВАЧ
ЦLРJ-393*Оладария*18 -83*6 8*LРJРLАЛО
VBЬS-701*Яентарин*-59 -26*-4 4*BЬSЬBНЕЯ
YСGV-462*Утопия*0 -20*9 -8*СGVGСОТУ
CФOЕ-853*Абеллио*-79 -87*-8 9*ФOЕOФЕБА
ЗПФБ-132*Идаллия*-87 -10*-9 -5*ПФБФПАДИ
РCUЛ-201*Ширифповерье*2 -52*-6 -4*CUЛUCРИШ
ZGГЛ-684*Ривенделл*-24 -63*-9 -7*GГЛГGВИР
AСBN-655*Шамлария*13 -86*-10 -8*СBNBСМАШ
ZTЕC-122*Царкония*75 -29*3 9*TЕCЕTРАЦ
РEШZ-584*Голевард*-39 -74*-1 0*EШZШEЛОГ
ХЫВH-565*Сирмария*14 43*1 -7*ЫВHВЫРИС
YJСУ-431*Саурон*31 -100*-6 -3*JСУСJУАС
BЛШБ-897*Праметия*-52 -19*0 -1*ЛШБШЛАРП
ФMЭE-210*Фарнслетия*-7 75*-7 6*MЭEЭMРАФ
CVЬЗ-730*Дуин*-55 20*9 -1*VЬЗЬVИУД
ЛITD-778*Цитрамор*46 97*-6 -9*ITDTIТИЦ
ДВTТ-686*Праметия*29 11*1 -5*ВTТTВАРП
ИФZШ-969*Едор*-97 -64*-6 -7*ФZШZФОДЕ
KЬKШ-824*Цитрамор*-49 -87*-9 0*ЬKШKЬТИЦ
ЯЮOУ-188*Ривенделл*0 -61*-6 3*ЮOУOЮВИР
ЧOАИ-270*Южный кошмар*59 41*0 -6*OАИАOНЖЮ
AZBV-274*Фиринция*-51 54*-8 -7*ZBVBZРИФ
LIJЙ-879*Целиндия*-99 -68*-4 -7*IJЙJIЛЕЦ
TGЫH-549*Жимрамир*-57 -34*5 8*GЫHЫGМИЖ
ГKLS-231*Диасурия*30 82*0 -1*KLSLKАИД
ЬSBЮ-217*Уриллион*79 14*-4 -10*SBЮBSИРУ
ЬЯJТ-431*Юхусия*-22 24*0 -8*ЯJТJЯУХЮ
ЕХXT-899*Арда*30 14*8 -3*ХXTXХДРА
БАЩX-551*Гондор*-39 90*1 6*АЩXЩАНОГ
BЖЛЩ-86*Харад*55 83*-3 -4*ЖЛЩЛЖРАХ
JQМЩ-656*Юэгусия*-54 25*9 -9*QМЩМQГЭЮ
ОИVА-767*Яскария*51 75*-8 -3*ИVАVИКСЯ
MEЧУ-99*Зуария*88 -26*-4 -7*EЧУЧEАУЗ
ФWДK-369*Лоркиндария*64 -3*-4 0*WДKДWРОЛ
МCЩT-272*Услилка*25 61*-3 -2*CЩTЩCЛСУ
ГВЫН-568*Тол-Арда*90 95*5 -3*ВЫНЫВЛОТ
ГЖPЪ-715*Ярость Горы*60 40*8 -2*ЖPЪPЖОРЯ
ULMЦ-578*Лоркиндария*-56 -51*-4 -3*LMЦMLРОЛ
ФЦЗF-568*Фангорн*77 -17*2 -7*ЦЗFЗЦНАФ
ЭAАЭ-816*Мира*-20 37*-6 -1*AАЭАAРИМ
HNОЮ-871*Утопия*-30 86*0 -9*NОЮОNОТУ
ЭRЗЗ-646*Аглатосия*-5 -8*0 -5*RЗЗЗRЛГА
ЗЮГТ-740*Праметия*75 96*7 3*ЮГТГЮАРП
СЩВA-750*Ясмария*60 11*0 -4*ЩВAВЩМСЯ
KPЫД-433*Сирмария*-30 -81*-10 -7*PЫДЫPРИС
ЪMPД-305*Парадель*4 -91*-8 -10*MPДPMРАП
АФKO-611*Царкония*-40 -83*-3 -4*ФKOKФРАЦ
UСXД-311*Харантария*-57 -41*-9 5*СXДXСРАХ
DXБЗ-272*Мира*-92 79*4 2*XБЗБXРИМ
IZNL-84*Моргариан*-79 93*-2 7*ZNLNZРОМ
ЗGQG-473*Ридайя*36 -81*1 -4*GQGQGДИР
VOЪЙ-952*Егана*-83 78*-6 1*OЪЙЪOАГЕ
HUРS-181*Есендария*-88 79*2 3*UРSРUЕСЕ
ВTWВ-386*Жимрамир*-91 39*9 6*TWВWTМИЖ
XГYE-349*Варитор*-20 -1*6 7*ГYEYГРАВ
МCSП-434*Гординия*6 -67*-3 6*CSПSCРОГ
FЬYЗ-289*Руэндария*-73 -93*8 -6*ЬYЗYЬЭУР
ЯЮHC-766*Зуария*-49 20*4 -5*ЮHCHЮАУЗ
ЛFBX-178*Моргариан*41 -2*-8 -2*FBXBFРОМ
